video id,avg rating,description,encoding,genres,mpaa rating,preview thumbnails,release date,tags,title,type,url,user id
8a60ca11-0ef2-11e5-bc5b-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Adventure Film','Science Fiction','Action Film','Thriller','Romance Film'}",PG-13,{},2014-03-18,{},"Divergent",Trailer,"http://divergentthemovie.com/",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a6056ca-0ef2-11e5-9966-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Romantic comedy'}",R,{},2013-09-12,{},"The Right Kind of Wrong",Trailer,"http://www.magpictures.com/therightkindofwrong/",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a36b50f-0ef2-11e5-b8d6-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Romance Film'}",PG-13,{},2011-08-09,{},"The Help",Trailer,"http://www.dreamworksstudios.com/films/the-help",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a1e8ed4-0ef2-11e5-b72c-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'War film','World cinema','Drama film','Drama','Political drama'}",PG,{},2010-03-24,{},"White Material",Trailer,"http://www.guardian.co.uk/film/video/2010/jul/02/thriller-world-cinema",63d97ca8-4630-4bad-805f-3bda997f3dcc
81394554-0ef2-11e5-87ef-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Comedy','Romance Film'}",PG,{},1994-09-13,{},"Vanya on 42nd Street",Trailer,"http://www.youtube.com/watch?v=ooVAo8FIpXw",63d97ca8-4630-4bad-805f-3bda997f3dcc
811df628-0ef2-11e5-9c91-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Mystery','Dystopia','Gangster Film','Drama','Science Fiction','Crime Thriller','Suspense','Crime Fiction','Future noir','Action Film','Thriller'}",R,{},1995-10-20,{},"Strange Days",Trailer,"http://www.youtube.com/watch?v=5yaXPx6xWEQ&feature=player_detailpage",63d97ca8-4630-4bad-805f-3bda997f3dcc
81479d35-0ef2-11e5-840f-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Comedy','Romance Film'}",R,{},1993-12-01,{},"Strawberry and Chocolate",Trailer,"http://www.youtube.com/watch?v=DROGxZTOKM0",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a52b075-0ef2-11e5-b2b6-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Biographical film','Documentary film'}",R,{},2013-01-19,{},"Cutie and the Boxer",Trailer,"http://www.youtube.com/watch?v=uJ8uLgBMMGw",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a48f978-0ef2-11e5-94f3-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Action Film','Thriller','Crime Fiction'}",R,{},2012-09-06,{},"Stolen",Trailer,"http://www.stolen-movie.com/#TrailerBlock",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a65510f-0ef2-11e5-921d-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Horror','Comedy','Thriller'}",R,{},2014-09-06,{},"Tusk",Trailer,"https://www.youtube.com/watch?v=83rI4jPlsJ0",63d97ca8-4630-4bad-805f-3bda997f3dcc
